Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,6.71,6.71,6.25,6.32,73400,6.32
2015-12-22,6.38,6.77,6.38,6.49,29400,6.49
2015-12-23,6.56,6.68,6.49,6.6,38600,6.6
2015-12-24,6.61,6.65,6.57,6.65,9800,6.65
2015-12-28,6.65,6.65,6.5,6.56,32900,6.56
2015-12-29,6.51,6.7,6.51,6.68,28900,6.68
2015-12-30,6.69,6.7,6.45,6.63,19600,6.63
2015-12-31,6.63,6.7,6.51,6.56,24700,6.56
2016-01-04,6.5,6.58,6.24,6.55,42600,6.55
2016-01-05,6.5,6.69,6.26,6.66,40800,6.66
2016-01-06,6.53,6.7,6.47,6.48,35300,6.48
2016-01-07,6.4,6.4,5.93,5.99,116900,5.99
2016-01-08,5.99,6.25,5.89,6.18,52400,6.18
2016-01-11,5.98,6.1,5.71,5.78,108300,5.78
2016-01-12,5.73,5.85,5.18,5.39,161200,5.39
2016-01-13,5.4,5.65,5.01,5.15,240100,5.15
2016-01-14,5.25,5.42,5.15,5.28,92800,5.28
2016-01-15,5.17,5.36,5.1,5.3,67700,5.3
