Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.24,2.37,2.24,2.26,201400,2.26
2015-12-16,2.28,2.35,2.27,2.32,119900,2.32
2015-12-17,2.32,2.45,2.32,2.41,224900,2.41
2015-12-18,2.42,2.45,2.41,2.45,100200,2.45
2015-12-21,2.5,2.64,2.48,2.56,270700,2.56
2015-12-22,2.59,2.62,2.48,2.51,90000,2.51
2015-12-23,2.52,2.57,2.41,2.5,141600,2.5
2015-12-24,2.46,2.58,2.46,2.53,71300,2.53
2015-12-28,2.48,2.51,2.33,2.33,160800,2.33
2015-12-29,2.33,2.4,2.31,2.35,97400,2.35
2015-12-30,2.31,2.44,2.3,2.37,133100,2.37
2015-12-31,2.35,2.43,2.3,2.32,46000,2.32
2016-01-04,2.29,2.35,2.2,2.23,284100,2.23
2016-01-05,2.22,2.29,2.1,2.11,360700,2.11
2016-01-06,2.1,2.28,2.08,2.18,80200,2.18
2016-01-07,2.1,2.13,2.08,2.1,57500,2.1
2016-01-08,2.09,2.15,2.07,2.07,34300,2.07
2016-01-11,2.08,2.11,2.02,2.02,48000,2.02
2016-01-12,2.02,2.16,2.0,2.0,328000,2.0
2016-01-13,2.0,2.04,2.0,2.0,24700,2.0
2016-01-14,2.0,2.05,1.98,2.02,56000,2.02
