Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.75,3.86,3.68,3.84,186100,3.84
2015-12-16,3.87,3.95,3.8,3.91,195600,3.91
2015-12-17,3.95,3.99,3.85,3.85,197400,3.85
2015-12-18,3.85,3.985,3.85,3.92,555100,3.92
2015-12-21,3.93,3.94,3.844,3.89,190000,3.89
2015-12-22,3.9,3.96,3.81,3.92,191800,3.92
2015-12-23,3.95,3.96,3.825,3.9,314400,3.9
2015-12-24,3.93,3.94,3.86,3.9,67300,3.9
2015-12-28,3.85,3.905,3.69,3.75,504000,3.75
2015-12-29,3.78,3.8,3.58,3.62,771400,3.62
2015-12-30,3.63,3.7,3.53,3.6,761000,3.6
2015-12-31,3.58,3.69,3.5,3.61,531700,3.61
2016-01-04,3.56,3.69,3.405,3.68,408800,3.68
2016-01-05,3.69,3.69,3.54,3.66,296100,3.66
2016-01-06,3.65,3.96,3.59,3.79,305700,3.79
2016-01-07,3.69,3.89,3.66,3.83,655400,3.83
2016-01-08,3.87,3.98,3.66,3.77,377600,3.77
2016-01-11,3.78,3.865,3.6,3.8,225700,3.8
2016-01-12,3.8,3.98,3.7,3.85,242200,3.85
2016-01-13,3.82,3.97,3.62,3.67,261600,3.67
2016-01-14,3.7,3.9,3.58,3.87,263700,3.87
