Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.99,11.06,10.91,11.04,40100,11.04
2015-12-16,11.08,11.08,10.85,11.05,41400,11.05
2015-12-17,11.1,11.17,10.92,10.94,48500,10.94
2015-12-18,10.86,11.21,10.84,11.17,341700,11.17
2015-12-21,11.04,11.25,11.04,11.2,62800,11.2
2015-12-22,11.23,11.23,10.97,11.2,63100,11.2
2015-12-23,11.23,11.3,11.05,11.21,89100,11.21
2015-12-24,11.23,11.46,11.2,11.43,17000,11.43
2015-12-28,11.34,11.45,11.03,11.28,27600,11.28
2015-12-29,11.32,11.4,11.28,11.4,23100,11.4
2015-12-30,11.36,11.45,10.99,11.01,35900,11.01
2015-12-31,11.07,11.21,10.9,11.16,71000,11.16
2016-01-04,10.98,11.21,10.65,10.76,135700,10.76
2016-01-05,10.78,10.84,10.67,10.78,91600,10.78
2016-01-06,10.65,10.76,10.54,10.61,38600,10.61
2016-01-07,10.49,10.64,10.24,10.56,91100,10.56
2016-01-08,10.55,10.67,10.21,10.26,70600,10.26
2016-01-11,10.3,10.4,10.06,10.27,511000,10.27
2016-01-12,10.36,10.5,10.17,10.39,94400,10.39
2016-01-13,10.39,10.55,10.24,10.29,112300,10.29
2016-01-14,10.32,10.62,10.2,10.55,106800,10.55
