Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,8.58,8.69,8.47,8.55,3430600,8.55
2015-12-22,8.53,8.69,8.31,8.68,2702500,8.68
2015-12-23,8.59,8.94,8.59,8.94,3433500,8.94
2015-12-24,8.95,9.05,8.86,9.02,829200,9.02
2015-12-28,8.94,8.97,8.79,8.89,1579200,8.89
2015-12-29,8.89,8.99,8.87,8.96,2799600,8.96
2015-12-30,8.89,9.02,8.76,8.76,1887500,8.76
2015-12-31,8.77,8.96,8.7,8.82,3018600,8.82
2016-01-04,8.67,8.84,8.63,8.8,6680500,8.8
2016-01-05,8.74,8.85,8.5,8.52,4968600,8.52
2016-01-06,8.43,8.44,8.03,8.05,7374500,8.05
2016-01-07,7.92,8.17,7.85,8.13,6480400,8.13
2016-01-08,8.34,8.34,8.16,8.22,5879800,8.22
2016-01-11,8.24,8.36,8.17,8.32,4981200,8.32
2016-01-12,8.41,8.65,8.3,8.48,5152300,8.48
2016-01-13,8.55,8.65,8.15,8.29,5745700,8.29
2016-01-14,8.26,8.49,8.13,8.34,5135500,8.34
2016-01-15,8.12,8.24,7.96,8.11,6898500,8.11
