Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.5,3.53,3.48,3.49,540000,3.49
2015-12-16,3.49,3.56,3.48,3.5,436800,3.5
2015-12-17,3.51,3.55,3.47,3.49,664900,3.49
2015-12-18,3.49,3.51,3.45,3.5,771900,3.5
2015-12-21,3.52,3.61,3.48,3.55,1046000,3.55
2015-12-22,3.58,3.58,3.51,3.54,375100,3.54
2015-12-23,3.56,3.6,3.54,3.57,203400,3.57
2015-12-24,3.59,3.59,3.55,3.57,40700,3.57
2015-12-28,3.56,3.59,3.5,3.59,320700,3.59
2015-12-29,3.59,3.61,3.54,3.58,278300,3.58
2015-12-30,3.57,3.59,3.54,3.56,260600,3.56
2015-12-31,3.54,3.58,3.53,3.53,399700,3.53
2016-01-04,3.5,3.54,3.44,3.5,784000,3.5
2016-01-05,3.5,3.52,3.48,3.49,419900,3.49
2016-01-06,3.47,3.5,3.45,3.5,444700,3.5
2016-01-07,3.47,3.5,3.42,3.44,631400,3.44
2016-01-08,3.44,3.49,3.38,3.4,546500,3.4
2016-01-11,3.41,3.48,3.36,3.44,406000,3.44
2016-01-12,3.4,3.49,3.36,3.43,623900,3.43
2016-01-13,3.42,3.49,3.4,3.42,506800,3.42
2016-01-14,3.42,3.5,3.41,3.45,275100,3.45
