Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,6.91,7.216,6.87,7.02,43200,7.02
2015-12-16,7.08,7.34,6.98,7.33,27200,7.33
2015-12-17,7.33,7.51,7.11,7.5,46200,7.5
2015-12-18,7.46,7.75,7.396,7.55,168200,7.55
2015-12-21,7.5,7.67,7.44,7.65,26700,7.65
2015-12-22,7.62,7.94,7.62,7.84,17200,7.84
2015-12-23,7.89,7.91,7.83,7.9,18900,7.9
2015-12-24,7.88,7.91,7.85,7.89,4300,7.89
2015-12-28,7.89,7.91,7.35,7.63,35600,7.63
2015-12-29,7.67,7.67,7.56,7.64,20900,7.64
2015-12-30,7.5,7.83,7.5,7.78,15300,7.78
2015-12-31,7.82,7.9,7.55,7.66,52300,7.66
2016-01-04,7.51,7.86,7.14,7.26,63400,7.26
2016-01-05,7.25,7.52,6.51,6.59,101700,6.59
2016-01-06,6.51,6.6,5.85,5.91,307900,5.91
2016-01-07,5.82,6.02,5.8,5.84,28000,5.84
2016-01-08,5.9,6.22,5.59,5.72,119900,5.72
2016-01-11,5.72,5.905,5.37,5.42,151800,5.42
2016-01-12,5.49,5.58,5.31,5.44,63300,5.44
2016-01-13,5.44,5.54,5.26,5.29,50800,5.29
2016-01-14,5.3,5.3,5.05,5.13,63700,5.13
