Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.13,10.32,10.12,10.27,5003800,10.27
2015-12-16,10.32,10.35,10.17,10.32,2536700,10.32
2015-12-17,10.38,10.42,9.96,9.96,4088600,9.96
2015-12-18,9.94,10.11,9.85,10.01,5685900,10.01
2015-12-21,10.12,10.25,10.01,10.09,2112700,10.09
2015-12-22,10.11,10.15,9.92,10.07,3475700,10.07
2015-12-23,10.06,10.14,10.0,10.09,3153100,10.09
2015-12-24,10.14,10.21,10.11,10.14,1606900,10.14
2015-12-28,10.1,10.1,9.9,10.0,2244000,10.0
2015-12-29,10.05,10.16,10.0,10.11,3146000,10.11
2015-12-30,10.15,10.15,9.94,9.95,3022400,9.95
2015-12-31,9.96,9.97,9.78,9.8,2390900,9.8
2016-01-04,9.65,9.84,9.5,9.7,4023200,9.7
2016-01-05,9.82,9.82,9.63,9.68,5727400,9.68
2016-01-06,9.56,9.63,9.01,9.19,7044200,9.19
2016-01-07,9.11,9.11,8.55,8.64,9522500,8.64
2016-01-08,8.6,8.86,8.51,8.53,5103700,8.53
2016-01-11,8.62,8.72,8.38,8.57,5474600,8.57
2016-01-12,8.69,8.7,8.38,8.55,3917800,8.55
2016-01-13,8.55,8.65,8.16,8.3,5987300,8.3
2016-01-14,8.3,8.65,8.12,8.5,6458500,8.5
