Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.51,0.54,0.5,0.5,115400,0.5
2015-12-22,0.5,0.53,0.5,0.52,68300,0.52
2015-12-23,0.5,0.55,0.5,0.51,273900,0.51
2015-12-24,0.51,0.54,0.5,0.52,112800,0.52
2015-12-28,0.52,0.54,0.47,0.48,367600,0.48
2015-12-29,0.48,0.5,0.44,0.47,504200,0.47
2015-12-30,0.48,0.5,0.46,0.48,245500,0.48
2015-12-31,0.45,0.47,0.43,0.45,676700,0.45
2016-01-04,0.47,0.48,0.43,0.44,73500,0.44
2016-01-05,0.45,0.47,0.4,0.44,138700,0.44
2016-01-06,0.44,0.49,0.43,0.43,40900,0.43
2016-01-07,0.44,0.44,0.36,0.37,290300,0.37
2016-01-08,0.37,0.39,0.36,0.36,120500,0.36
2016-01-11,0.39,0.39,0.32,0.36,63000,0.36
2016-01-12,0.33,0.35,0.32,0.34,32700,0.34
2016-01-13,0.34,0.38,0.34,0.35,52800,0.35
2016-01-14,0.35,0.38,0.32,0.37,319200,0.37
2016-01-15,0.35,0.37,0.33,0.35,148800,0.35
