Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,10.55,10.71,10.47,10.71,12000,10.71
2015-12-16,10.72,10.98,10.68,10.87,24100,10.87
2015-12-17,10.95,10.95,10.67,10.88,33800,10.88
2015-12-18,10.88,11.5,10.87,11.47,61600,11.47
2015-12-21,11.4,11.63,11.31,11.57,44800,11.57
2015-12-22,11.55,11.65,11.5,11.59,23900,11.59
2015-12-23,11.59,11.9,11.57,11.88,17600,11.88
2015-12-24,11.94,11.94,11.76,11.83,6200,11.83
2015-12-28,11.75,12.07,11.59,11.94,23300,11.94
2015-12-29,11.97,12.05,11.9,11.91,13700,11.91
2015-12-30,11.92,11.99,11.81,11.91,20300,11.91
2015-12-31,11.92,11.96,11.64,11.91,54700,11.91
2016-01-04,11.71,11.79,11.38,11.58,26500,11.58
2016-01-05,11.6,11.82,11.49,11.79,32400,11.79
2016-01-06,11.64,11.79,11.2,11.52,26700,11.52
2016-01-07,11.37,11.37,10.82,10.94,52500,10.94
2016-01-08,10.94,11.23,10.22,10.29,23100,10.29
2016-01-11,10.24,10.61,9.59,10.06,77000,10.06
2016-01-12,10.12,10.26,9.52,9.63,60000,9.63
2016-01-13,9.51,9.74,9.5,9.56,68800,9.56
2016-01-14,9.66,10.05,9.5,9.91,64600,9.91
