Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.68,0.73,0.61,0.62,48500,0.62
2015-12-22,0.62,0.72,0.62,0.72,133200,0.72
2015-12-23,0.65,0.72,0.65,0.71,9500,0.71
2015-12-24,0.68,0.71,0.67,0.71,140400,0.71
2015-12-28,0.68,0.71,0.68,0.71,300,0.71
2015-12-29,0.68,0.77,0.68,0.75,42600,0.75
2015-12-30,0.76,0.8,0.76,0.79,500,0.79
2015-12-31,0.8,0.8,0.76,0.77,37500,0.77
2016-01-04,0.77,0.77,0.77,0.77,1200,0.77
2016-01-05,0.77,0.82,0.77,0.77,600,0.77
2016-01-06,0.77,0.78,0.77,0.78,300,0.78
2016-01-07,0.78,0.78,0.78,0.78,0,0.78
2016-01-08,0.78,0.78,0.78,0.78,0,0.78
2016-01-11,0.78,0.78,0.78,0.78,0,0.78
2016-01-12,0.73,0.73,0.73,0.73,400,0.73
2016-01-13,0.73,0.73,0.73,0.73,0,0.73
2016-01-14,0.73,0.73,0.73,0.73,0,0.73
2016-01-15,0.73,0.73,0.71,0.71,400,0.71
