Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.76,0.78,0.74,0.76,1221400,0.76
2015-12-22,0.76,0.84,0.73,0.84,1310100,0.84
2015-12-23,0.81,0.86,0.8,0.86,1151800,0.86
2015-12-24,0.85,0.89,0.84,0.85,676100,0.85
2015-12-28,0.78,0.88,0.78,0.85,1404500,0.85
2015-12-29,0.89,0.94,0.85,0.91,2768200,0.91
2015-12-30,0.88,0.93,0.88,0.9,1042500,0.9
2015-12-31,0.91,0.95,0.9,0.93,1286200,0.93
2016-01-04,0.92,0.93,0.85,0.88,1395100,0.88
2016-01-05,0.86,0.91,0.85,0.85,748400,0.85
2016-01-06,0.85,0.88,0.84,0.84,1124500,0.84
2016-01-07,0.82,0.86,0.8,0.81,1361900,0.81
2016-01-08,0.8,0.83,0.77,0.78,1692100,0.78
2016-01-11,0.8,0.8,0.71,0.76,1155200,0.76
2016-01-12,0.76,0.82,0.75,0.81,1194700,0.81
2016-01-13,0.81,0.85,0.77,0.78,1154200,0.78
2016-01-14,0.8,0.83,0.75,0.83,758900,0.83
2016-01-15,0.8,0.81,0.76,0.79,673700,0.79
