Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,7.2,7.38,7.2,7.31,3388500,7.31
2015-12-22,7.3,7.39,7.19,7.26,3099200,7.26
2015-12-23,7.3,7.39,7.24,7.38,1805100,7.38
2015-12-24,7.38,7.48,7.35,7.47,1342000,7.47
2015-12-28,7.4,7.51,7.28,7.4,2499500,7.4
2015-12-29,7.42,7.52,7.36,7.52,3805000,7.52
2015-12-30,7.38,7.46,7.15,7.15,2471300,7.15
2015-12-31,7.12,7.44,7.08,7.39,1885900,7.39
2016-01-04,7.1,7.1,6.66,6.76,6092100,6.76
2016-01-05,6.84,6.99,6.83,6.94,4535500,6.94
2016-01-06,6.8,6.83,6.54,6.57,4623000,6.57
2016-01-07,6.39,6.59,6.1,6.37,10948400,6.37
2016-01-08,6.47,6.57,6.38,6.46,3669000,6.46
2016-01-11,6.42,6.45,6.05,6.31,9652900,6.31
2016-01-12,6.4,6.46,6.06,6.19,3069600,6.19
2016-01-13,6.29,6.29,5.73,5.78,5352400,5.78
2016-01-14,5.85,6.0,5.48,5.92,8368200,5.92
2016-01-15,5.67,5.78,5.52,5.65,4522800,5.65
