Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,7.91,7.91,7.76,7.81,10500,7.81
2015-12-22,7.83,7.86,7.55,7.77,12600,7.77
2015-12-23,7.75,7.83,7.6,7.82,9600,7.82
2015-12-24,7.8,7.82,7.73,7.82,3900,7.82
2015-12-28,7.7,7.8,7.7,7.7,8300,7.7
2015-12-29,7.6,7.76,7.56,7.57,6300,7.57
2015-12-30,7.56,7.79,7.55,7.67,1800,7.67
2015-12-31,7.71,7.75,7.52,7.53,6800,7.53
2016-01-04,7.33,7.33,7.01,7.2,14500,7.2
2016-01-05,7.04,7.34,7.04,7.09,2300,7.09
2016-01-06,7.16,7.33,7.08,7.26,5800,7.26
2016-01-07,7.27,7.33,7.2,7.25,3400,7.25
2016-01-08,7.47,7.47,7.24,7.24,5400,7.24
2016-01-11,7.2,7.31,6.53,6.91,11600,6.91
2016-01-12,6.79,6.99,6.79,6.99,9200,6.99
2016-01-13,6.82,6.97,6.75,6.75,6700,6.75
2016-01-14,6.95,6.95,6.71,6.71,8800,6.71
2016-01-15,6.58,6.87,6.3,6.44,14000,6.44
