Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.52,3.63,3.39,3.53,11800,3.53
2015-12-16,3.69,4.22,3.65,3.66,6800,3.66
2015-12-17,3.52,3.78,3.35,3.45,16800,3.45
2015-12-18,3.42,3.7,3.35,3.39,24100,3.39
2015-12-21,3.3,3.39,3.3,3.31,9500,3.31
2015-12-22,3.35,3.49,3.35,3.41,6700,3.41
2015-12-23,3.42,3.47,3.3,3.3,4000,3.3
2015-12-24,3.32,3.32,3.3,3.3,700,3.3
2015-12-28,3.3,3.36,3.26,3.26,3600,3.26
2015-12-29,3.3,3.34,3.15,3.22,22100,3.22
2015-12-30,3.18,3.2,3.18,3.18,7900,3.18
2015-12-31,3.21,3.29,3.16,3.16,9400,3.16
2016-01-04,3.08,3.08,2.95,3.0,29200,3.0
2016-01-05,3.08,3.2,2.99,3.12,4000,3.12
2016-01-06,3.25,3.25,3.25,3.25,200,3.25
2016-01-07,3.19,3.28,2.9,3.0,15900,3.0
2016-01-08,3.05,3.05,3.01,3.02,4700,3.02
2016-01-11,3.05,3.05,3.05,3.05,400,3.05
2016-01-12,3.2,3.24,3.06,3.16,5900,3.16
2016-01-13,3.05,3.15,3.05,3.15,15200,3.15
2016-01-14,3.05,3.24,3.05,3.24,2500,3.24
