Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,5.12,5.2,5.11,5.15,32000,5.15
2015-12-16,5.18,5.25,5.16,5.24,48400,5.24
2015-12-17,5.22,5.22,5.15,5.16,13400,5.16
2015-12-18,5.19,5.19,5.12,5.13,53800,5.13
2015-12-21,5.13,5.15,5.1,5.12,31000,5.12
2015-12-22,5.16,5.2,5.12,5.13,22800,5.13
2015-12-23,5.14,5.15,5.12,5.13,21900,5.13
2015-12-24,5.15,5.18,5.14,5.18,11800,5.18
2015-12-28,5.12,5.14,5.07,5.1,26300,5.1
2015-12-29,5.1,5.15,5.09,5.1,10100,5.1
2015-12-30,5.12,5.12,5.06,5.06,30500,5.06
2015-12-31,5.07,5.07,5.03,5.05,34100,5.05
2016-01-04,4.94,4.98,4.9,4.91,58400,4.91
2016-01-05,4.93,4.97,4.91,4.97,29800,4.97
2016-01-06,4.92,4.96,4.87,4.93,157900,4.93
2016-01-07,4.68,4.72,4.63,4.64,90900,4.64
2016-01-08,4.65,4.67,4.62,4.62,34200,4.62
2016-01-11,4.56,4.56,4.49,4.51,29600,4.51
2016-01-12,4.63,4.77,4.63,4.67,36400,4.67
2016-01-13,4.72,4.77,4.6,4.63,62300,4.63
2016-01-14,4.64,4.69,4.58,4.69,26100,4.69
