Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.48,1.69,1.41,1.49,57400,1.49
2015-12-16,1.53,1.56,1.39,1.56,46900,1.56
2015-12-17,1.47,1.58,1.44,1.58,31400,1.58
2015-12-18,1.52,1.58,1.37,1.37,79500,1.37
2015-12-21,1.46,1.57,1.37,1.48,18800,1.48
2015-12-22,1.47,1.59,1.47,1.56,4900,1.56
2015-12-23,1.63,1.64,1.57,1.61,2900,1.61
2015-12-24,1.61,1.61,1.61,1.61,0,1.61
2015-12-28,1.5,1.55,1.5,1.53,24500,1.53
2015-12-29,1.49,1.56,1.47,1.5,37800,1.5
2015-12-30,1.5,1.5,1.47,1.49,5300,1.49
2015-12-31,1.5,1.57,1.5,1.55,18000,1.55
2016-01-04,1.51,1.52,1.41,1.45,5700,1.45
2016-01-05,1.44,1.5,1.41,1.45,20900,1.45
2016-01-06,1.45,1.49,1.4,1.45,12300,1.45
2016-01-07,1.5,1.5,1.41,1.49,9300,1.49
2016-01-08,1.49,1.49,1.42,1.43,25400,1.43
2016-01-11,1.47,1.47,1.37,1.42,20900,1.42
2016-01-12,1.42,1.42,1.35,1.37,13700,1.37
2016-01-13,1.35,1.39,1.28,1.33,29800,1.33
2016-01-14,1.33,1.39,1.33,1.35,9400,1.35
