Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,1.34,1.38,1.3,1.31,642300,1.31
2015-12-16,1.37,1.49,1.36,1.49,2582500,1.49
2015-12-17,1.49,1.58,1.44,1.52,1414500,1.52
2015-12-18,1.5,1.62,1.5,1.62,1046300,1.62
2015-12-21,1.66,1.83,1.66,1.77,2315500,1.77
2015-12-22,1.77,1.77,1.62,1.71,936500,1.71
2015-12-23,1.74,1.95,1.74,1.89,2015600,1.89
2015-12-24,1.92,1.95,1.85,1.91,860100,1.91
2015-12-28,1.93,1.95,1.87,1.89,770000,1.89
2015-12-29,1.9,1.93,1.83,1.88,786400,1.88
2015-12-30,1.83,1.88,1.71,1.77,1289800,1.77
2015-12-31,1.74,1.81,1.68,1.7,1000000,1.7
2016-01-04,1.61,1.85,1.59,1.82,1609000,1.82
2016-01-05,1.84,1.85,1.78,1.78,746600,1.78
2016-01-06,1.78,1.82,1.78,1.81,595100,1.81
2016-01-07,1.73,1.81,1.65,1.69,1682500,1.69
2016-01-08,1.74,1.79,1.69,1.7,1072200,1.7
2016-01-11,1.73,1.75,1.5,1.65,1398700,1.65
2016-01-12,1.66,1.72,1.6,1.65,543800,1.65
2016-01-13,1.7,1.72,1.59,1.63,582600,1.63
2016-01-14,1.62,1.66,1.5,1.65,569400,1.65
