Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,12.37,12.48,12.02,12.24,703900,12.24
2015-12-22,12.32,12.46,12.12,12.46,500800,12.46
2015-12-23,12.41,12.66,12.31,12.5,511200,12.5
2015-12-24,12.59,12.6,12.45,12.6,318500,12.6
2015-12-28,12.6,12.84,12.49,12.83,1621000,12.83
2015-12-29,12.83,12.83,12.5,12.74,852200,12.74
2015-12-30,12.66,12.83,12.53,12.78,938300,12.78
2015-12-31,12.7,13.5,12.65,13.09,2451900,13.09
2016-01-04,12.75,12.9,12.05,12.16,2738800,12.16
2016-01-05,12.2,12.34,11.5,11.51,2350300,11.51
2016-01-06,11.5,11.64,11.015,11.52,1850600,11.52
2016-01-07,11.13,11.37,11.0,11.16,1633900,11.16
2016-01-08,11.25,11.54,11.2,11.31,585000,11.31
2016-01-11,11.43,11.87,11.4,11.84,1676900,11.84
2016-01-12,11.94,12.225,11.71,12.09,2108500,12.09
2016-01-13,12.06,12.17,11.08,11.61,2094300,11.61
2016-01-14,11.51,11.645,10.79,10.82,1603000,10.82
2016-01-15,10.62,10.8,10.1,10.27,1201600,10.27
