Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,12.84,13.21,12.84,13.05,80800,13.05
2015-12-16,13.12,13.21,13.0,13.17,45800,13.17
2015-12-17,13.24,13.3,13.0,13.02,79600,13.02
2015-12-18,13.0,13.43,13.0,13.29,200200,13.29
2015-12-21,13.38,13.38,12.99,13.12,110300,13.12
2015-12-22,13.12,13.24,13.0,13.22,43300,13.22
2015-12-23,13.27,13.42,13.25,13.35,31700,13.35
2015-12-24,13.36,14.05,13.15,14.0,58900,14.0
2015-12-28,13.99,13.99,13.4,13.78,110700,13.78
2015-12-29,14.01,14.02,13.49,13.58,72400,13.58
2015-12-30,13.57,13.64,12.64,13.21,47100,13.21
2015-12-31,13.15,13.25,12.96,12.97,80000,12.97
2016-01-04,12.74,12.96,12.55,12.81,151400,12.81
2016-01-05,12.59,12.95,12.55,12.72,43200,12.72
2016-01-06,12.56,12.86,12.5,12.67,87200,12.67
2016-01-07,12.46,12.69,12.46,12.55,113000,12.55
2016-01-08,12.56,12.89,12.23,12.5,85000,12.5
2016-01-11,12.5,12.82,12.31,12.63,81000,12.63
2016-01-12,12.72,12.8,12.5,12.73,69600,12.73
2016-01-13,12.74,12.95,12.35,12.45,91600,12.45
2016-01-14,12.54,12.92,12.25,12.61,64600,12.61
