Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,3.95,3.95,3.56,3.7,5900,3.7
2015-12-22,3.68,3.68,3.5,3.5,4600,3.5
2015-12-23,3.69,3.69,3.65,3.65,1800,3.65
2015-12-24,3.7,3.7,3.7,3.7,100,3.7
2015-12-28,3.69,3.69,3.66,3.66,1400,3.66
2015-12-29,3.67,3.67,3.67,3.67,1000,3.67
2015-12-30,3.58,3.7,3.58,3.6,2500,3.6
2015-12-31,3.6,3.6,3.6,3.6,0,3.6
2016-01-04,3.57,3.57,3.57,3.57,900,3.57
2016-01-05,3.57,3.57,3.57,3.57,0,3.57
2016-01-06,3.7,4.19,3.7,3.7,6500,3.7
2016-01-07,3.7,3.7,3.7,3.7,300,3.7
2016-01-08,4.15,4.15,3.5,3.6,8700,3.6
2016-01-11,3.6,3.6,3.6,3.6,0,3.6
2016-01-12,3.58,3.6,3.55,3.55,1600,3.55
2016-01-13,3.64,3.64,3.55,3.55,500,3.55
2016-01-14,3.6,3.89,3.6,3.89,800,3.89
2016-01-15,3.9,4.09,3.1,3.61,6200,3.61
