Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,1.66,1.72,1.57,1.71,109200,1.71
2015-12-22,1.7,1.71,1.67,1.71,14000,1.71
2015-12-23,1.69,1.81,1.64,1.79,114100,1.79
2015-12-24,1.73,1.8,1.67,1.78,33900,1.78
2015-12-28,1.75,1.8,1.7,1.71,60800,1.71
2015-12-29,1.66,1.73,1.66,1.7,109900,1.7
2015-12-30,1.68,1.75,1.67,1.69,50900,1.69
2015-12-31,1.68,1.77,1.65,1.75,88300,1.75
2016-01-04,1.7,1.77,1.67,1.71,38300,1.71
2016-01-05,1.68,1.73,1.68,1.7,12100,1.7
2016-01-06,1.68,1.74,1.61,1.67,58000,1.67
2016-01-07,1.63,1.65,1.54,1.58,46200,1.58
2016-01-08,1.61,1.69,1.56,1.67,104200,1.67
2016-01-11,1.65,1.7,1.61,1.65,52300,1.65
2016-01-12,1.62,1.65,1.62,1.64,32500,1.64
2016-01-13,1.64,1.71,1.63,1.67,65600,1.67
2016-01-14,1.72,1.72,1.61,1.7,73900,1.7
2016-01-15,1.67,1.7,1.59,1.65,64700,1.65
