Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,16.799999,17.049999,16.5,16.530001000000002,237300,16.530001000000002
2015-12-16,16.459999,17.09,16.4,16.75,192300,16.75
2015-12-17,16.73,17.02,16.59,16.790001,334400,16.790001
2015-12-18,16.65,16.790001,16.02,16.17,613400,16.17
2015-12-21,16.200001,16.620001000000002,15.53,15.64,340800,15.64
2015-12-22,15.6,16.07,14.97,15.88,293100,15.88
2015-12-23,15.96,17.110001,15.9,16.73,240700,16.73
2015-12-24,16.780001000000002,16.959999,16.59,16.809998999999998,105800,16.809998999999998
2015-12-28,16.65,16.65,15.76,15.91,287400,15.91
2015-12-29,15.95,16.280001000000002,15.7,16.01,351100,16.01
2015-12-30,15.87,16.059998999999998,15.57,15.85,356600,15.85
2015-12-31,15.82,16.01,15.62,15.9,252800,15.9
2016-01-04,15.62,15.63,15.0,15.35,289900,15.35
2016-01-05,15.3,15.31,14.91,15.16,168700,15.16
2016-01-06,14.89,15.12,14.55,14.68,178200,14.68
2016-01-07,14.21,14.62,13.85,13.9,481400,13.9
2016-01-08,14.12,14.32,13.72,13.73,387800,13.73
2016-01-11,13.76,13.94,12.56,12.65,662700,12.65
2016-01-12,12.84,13.23,11.56,12.0,726700,12.0
2016-01-13,12.0,13.07,10.59,10.89,577200,10.89
2016-01-14,10.99,11.42,10.67,11.41,578500,11.41
