Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,2.61,3.15,2.51,3.15,11600,3.15
2015-12-16,3.19,3.19,2.98,2.98,2600,2.98
2015-12-17,2.85,3.12,2.85,2.96,3800,2.96
2015-12-18,3.12,3.12,2.95,2.95,700,2.95
2015-12-21,2.85,3.08,2.8,3.08,6800,3.08
2015-12-22,3.08,3.08,2.89,2.94,1900,2.94
2015-12-23,2.9,3.01,2.9,2.99,3000,2.99
2015-12-24,3.03,3.03,2.9,3.0,700,3.0
2015-12-28,2.96,2.96,2.77,2.93,7300,2.93
2015-12-29,2.85,2.9,2.82,2.85,9200,2.85
2015-12-30,2.84,2.98,2.81,2.98,6500,2.98
2015-12-31,2.97,3.03,2.97,3.03,2700,3.03
2016-01-04,3.03,3.17,2.95,3.1,1400,3.1
2016-01-05,3.11,3.11,3.11,3.11,100,3.11
2016-01-06,3.12,3.12,3.12,3.12,200,3.12
2016-01-07,2.98,2.98,2.85,2.97,3400,2.97
2016-01-08,2.9,3.05,2.88,2.96,1600,2.96
2016-01-11,3.05,3.05,2.88,3.01,2700,3.01
2016-01-12,3.02,3.02,2.9,2.9,200,2.9
2016-01-13,3.02,3.02,2.9,2.91,500,2.91
2016-01-14,2.91,2.99,2.9,2.93,1400,2.93
