Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,8.02,8.41,8.02,8.2,1223000,8.2
2015-12-16,8.5,8.94,8.35,8.51,965700,8.51
2015-12-17,8.74,8.74,8.31,8.42,688100,8.42
2015-12-18,8.54,8.89,8.18,8.41,1831600,8.41
2015-12-21,8.45,8.8,8.21,8.8,468100,8.8
2015-12-22,8.85,9.0,8.7,8.94,407700,8.94
2015-12-23,8.98,9.69,8.964,9.4,653400,9.4
2015-12-24,9.5,9.79,9.44,9.66,411300,9.66
2015-12-28,9.61,9.65,8.84,9.27,525600,9.27
2015-12-29,9.37,9.66,9.28,9.66,534600,9.66
2015-12-30,9.74,9.88,9.5,9.63,539400,9.63
2015-12-31,9.59,9.765,9.41,9.54,680400,9.54
2016-01-04,9.23,9.47,8.31,9.04,1514300,9.04
2016-01-05,9.21,9.32,8.57,8.77,589500,8.77
2016-01-06,8.6,8.81,8.2,8.34,624300,8.34
2016-01-07,7.88,8.0,7.43,7.67,989100,7.67
2016-01-08,7.57,7.843,7.49,7.58,745500,7.58
2016-01-11,7.66,7.66,7.02,7.17,694300,7.17
2016-01-12,7.25,7.476,6.73,7.03,648900,7.03
2016-01-13,7.04,7.18,6.435,6.53,712000,6.53
2016-01-14,6.59,7.06,6.29,6.86,745800,6.86
