Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,14.84,14.9,14.64,14.78,702200,14.78
2015-12-16,15.0,15.16,14.84,15.1,484100,15.1
2015-12-17,15.41,15.73,15.32,15.42,652500,15.42
2015-12-18,15.35,15.43,14.94,14.95,315600,14.95
2015-12-21,15.12,15.23,14.85,15.13,400600,15.13
2015-12-22,15.04,15.11,14.87,14.98,216700,14.98
2015-12-23,14.97,15.24,14.94,15.03,228700,15.03
2015-12-24,14.97,15.14,14.92,15.03,189600,15.03
2015-12-28,14.8,15.11,14.72,14.99,254600,14.99
2015-12-29,15.01,15.04,14.73,14.88,401900,14.88
2015-12-30,14.71,14.72,14.43,14.45,358400,14.45
2015-12-31,14.42,14.5,14.05,14.06,417400,14.06
2016-01-04,13.8,13.84,13.51,13.78,469800,13.78
2016-01-05,14.17,14.5,13.67,13.8,605300,13.8
2016-01-06,13.64,13.67,13.02,13.2,766800,13.2
2016-01-07,13.03,13.06,12.55,12.77,786600,12.77
2016-01-08,13.0,13.21,12.51,12.58,527200,12.58
2016-01-11,13.11,13.15,12.6,12.75,844600,12.75
2016-01-12,13.19,13.25,12.62,13.24,799100,13.24
2016-01-13,13.08,13.12,12.35,12.47,1135600,12.47
2016-01-14,12.43,12.66,10.66,11.24,5434800,11.24
