Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,7.63,8.03,7.61,7.78,100800,7.78
2015-12-16,7.85,7.93,7.8,7.89,110800,7.89
2015-12-17,7.93,8.05,7.68,7.7,83800,7.7
2015-12-18,7.65,7.96,7.65,7.92,95000,7.92
2015-12-21,7.89,8.16,7.86,8.15,80800,8.15
2015-12-22,8.17,8.4,8.01,8.35,55200,8.35
2015-12-23,8.38,8.65,8.37,8.53,75300,8.53
2015-12-24,8.57,8.95,7.86,8.73,59500,8.73
2015-12-28,8.65,8.74,8.5,8.62,57700,8.62
2015-12-29,8.65,8.73,8.5,8.64,33400,8.64
2015-12-30,8.62,8.7,8.49,8.49,36100,8.49
2015-12-31,8.44,8.56,8.35,8.37,50800,8.37
2016-01-04,8.14,8.29,7.93,8.26,59300,8.26
2016-01-05,8.28,8.41,8.16,8.33,54400,8.33
2016-01-06,8.14,8.36,8.14,8.22,58700,8.22
2016-01-07,8.04,8.12,7.8,7.84,99900,7.84
2016-01-08,7.85,8.06,7.68,7.73,69200,7.73
2016-01-11,7.74,7.8,7.53,7.71,69500,7.71
2016-01-12,7.75,7.84,7.62,7.81,94000,7.81
2016-01-13,7.81,7.83,7.45,7.5,65800,7.5
2016-01-14,7.54,7.71,7.32,7.54,58200,7.54
