Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.37,0.41,0.36,0.41,199100,0.41
2015-12-22,0.4,0.43,0.4,0.4,132200,0.4
2015-12-23,0.43,0.43,0.4,0.41,75300,0.41
2015-12-24,0.4,0.41,0.4,0.41,19400,0.41
2015-12-28,0.39,0.43,0.39,0.42,88700,0.42
2015-12-29,0.43,0.43,0.36,0.38,232700,0.38
2015-12-30,0.38,0.4,0.36,0.36,151700,0.36
2015-12-31,0.36,0.39,0.35,0.35,165400,0.35
2016-01-04,0.35,0.37,0.32,0.34,133500,0.34
2016-01-05,0.35,0.36,0.33,0.34,49200,0.34
2016-01-06,0.36,0.36,0.32,0.32,121000,0.32
2016-01-07,0.33,0.33,0.2,0.27,352400,0.27
2016-01-08,0.27,0.28,0.22,0.24,153300,0.24
2016-01-11,0.23,0.26,0.23,0.26,63300,0.26
2016-01-12,0.26,0.26,0.23,0.23,46500,0.23
2016-01-13,0.25,0.25,0.24,0.25,124300,0.25
2016-01-14,0.24,0.24,0.24,0.24,43000,0.24
2016-01-15,0.25,0.25,0.23,0.24,31900,0.24
