Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,8.31,8.447000000000001,7.98,8.05,206800,8.05
2015-12-22,8.1,8.186,7.8,7.8,69900,7.8
2015-12-23,7.92,8.05,7.59,8.03,77100,8.03
2015-12-24,7.93,8.187000000000001,7.85,8.0,34900,8.0
2015-12-28,8.01,8.339,8.005,8.1,99300,8.1
2015-12-29,8.22,8.27,8.01,8.17,119700,8.17
2015-12-30,8.17,8.17,7.91,7.99,122100,7.99
2015-12-31,7.93,8.14,7.75,7.91,227300,7.91
2016-01-04,7.98,8.415,7.96,8.36,272500,8.36
2016-01-05,8.43,8.65,7.56,7.91,502700,7.91
2016-01-06,8.15,8.15,7.51,7.68,266100,7.68
2016-01-07,7.57,7.7,6.93,7.66,480100,7.66
2016-01-08,7.78,7.78,6.6,6.66,429600,6.66
2016-01-11,6.68,6.899,6.0,6.38,487000,6.38
2016-01-12,6.37,6.5,6.0,6.13,254500,6.13
2016-01-13,5.97,6.1,4.91,5.48,927800,5.48
2016-01-14,5.41,5.69,4.8,4.9,659300,4.9
2016-01-15,4.8,5.45,4.5,4.91,858300,4.91
