Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,0.52,0.52,0.52,0.52,0,0.52
2015-12-22,0.5,0.52,0.5,0.52,9100,0.52
2015-12-23,0.5,0.52,0.5,0.51,41800,0.51
2015-12-24,0.52,0.52,0.5,0.51,2500,0.51
2015-12-28,0.5,0.51,0.5,0.5,22300,0.5
2015-12-29,0.5,0.51,0.5,0.5,21300,0.5
2015-12-30,0.5,0.52,0.47,0.5,191100,0.5
2015-12-31,0.5,0.5,0.48,0.49,46300,0.49
2016-01-04,0.49,0.49,0.47,0.47,56600,0.47
2016-01-05,0.47,0.47,0.47,0.47,200,0.47
2016-01-06,0.48,0.49,0.48,0.48,1500,0.48
2016-01-07,0.49,0.49,0.48,0.48,3200,0.48
2016-01-08,0.48,0.49,0.47,0.47,12700,0.47
2016-01-11,0.49,0.49,0.46,0.49,11100,0.49
2016-01-12,0.49,0.49,0.49,0.49,0,0.49
2016-01-13,0.48,0.49,0.48,0.49,300,0.49
2016-01-14,0.47,0.47,0.46,0.46,2800,0.46
2016-01-15,0.46,0.47,0.46,0.46,11300,0.46
