Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,0.56,0.59,0.55,0.57,98900,5.7
2015-12-16,0.56,0.64,0.55,0.61,285000,6.1
2015-12-17,0.63,0.66,0.52,0.55,270800,5.5
2015-12-18,0.5,0.55,0.49,0.51,175300,5.1
2015-12-21,0.49,0.55,0.49,0.55,158500,5.5
2015-12-22,0.54,0.55,0.51,0.55,55000,5.5
2015-12-23,0.54,0.58,0.53,0.56,104900,5.6
2015-12-24,0.55,0.57,0.53,0.55,65200,5.5
2015-12-28,5.34,5.5,4.93,5.12,236000,5.12
2015-12-29,5.12,5.25,4.98,4.98,236800,4.98
2015-12-30,5.0,5.0,4.75,4.75,350500,4.75
2015-12-31,4.75,4.83,4.29,4.53,331800,4.53
2016-01-04,4.38,4.67,4.16,4.46,300900,4.46
2016-01-05,4.39,4.46,4.05,4.13,198300,4.13
2016-01-06,4.1,4.1,3.85,3.86,206600,3.86
2016-01-07,3.82,3.82,3.39,3.43,327300,3.43
2016-01-08,3.55,3.88,3.52,3.73,142700,3.73
2016-01-11,3.75,3.81,3.53,3.6,141600,3.6
2016-01-12,3.65,3.8,3.54,3.6,121000,3.6
2016-01-13,3.75,3.75,3.31,3.43,141800,3.43
2016-01-14,3.4,3.74,3.29,3.69,129300,3.69
