Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,14.65,15.28,14.6,15.12,2494300,15.12
2015-12-16,15.2,15.45,14.95,15.19,2273700,15.19
2015-12-17,15.33,15.71,15.14,15.37,2497300,15.37
2015-12-18,15.13,15.36,15.04,15.32,4443900,15.32
2015-12-21,15.21,15.65,15.11,15.64,2485500,15.64
2015-12-22,15.43,15.92,15.34,15.8,2906800,15.8
2015-12-23,15.97,16.09,15.8,16.030001000000002,2659200,16.030001000000002
2015-12-24,15.94,16.16,15.88,16.1,735600,16.1
2015-12-28,15.71,15.77,15.42,15.63,1455000,15.63
2015-12-29,15.79,15.97,15.53,15.82,1184400,15.82
2015-12-30,15.69,15.84,15.41,15.43,1208300,15.43
2015-12-31,15.43,15.81,15.32,15.72,1102600,15.72
2016-01-04,15.25,15.29,14.51,15.22,3641800,15.22
2016-01-05,15.16,15.54,15.13,15.41,2422300,15.41
2016-01-06,15.04,15.06,14.69,14.97,4089500,14.97
2016-01-07,14.63,15.03,13.64,13.96,3416600,13.96
2016-01-08,14.4,14.48,13.37,13.42,2691300,13.42
2016-01-11,13.7,13.78,12.61,12.86,3908100,12.86
2016-01-12,13.13,13.19,12.73,13.09,2358500,13.09
2016-01-13,13.38,13.48,12.73,12.98,2277700,12.98
2016-01-14,12.99,13.37,12.62,13.18,2080500,13.18
